win,peak,freq,bin,value,phase,compensation,groundtruth
1, 597.3075, 124993.2861, 4095.78, 0,1.3008,3.7699,0
2, 595.2106, 124993.8965, 4095.8, 0,-0.27787,1.885,0
3, 595.8054, 124995.1172, 4095.84, 0,-1.5444,0.31416,0
4, 598.056, 124995.7275, 4095.86, 0,-2.3814,5.3407,0
5, 599.5397, 124996.3379, 4095.88, 0,-3.0666,4.2097,0
6, 601.6381, 124996.9482, 4095.9, 0,-0.53411,0,0
7, 601.0852, 124998.1689, 4095.94, 0,-1.3036,5.0265,0
8, 596.7855, 124998.7793, 4095.96, 0,1.7443,1.2566,0
9, 565.1416, 115844.7266, 3796, 3796,1.1871,2.5133,3796
10, 589.4714, 3784.1797, 124, 124,1.5171,3.9584,124
11, 586.5379, 11688.8428, 383.02, 383,1.5029,3.2044,383
12, 587.7472, 20631.1035, 676.04, 676,1.5551,3.3929,676
13, 581.9172, 65493.1641, 2146.08, 2146,1.6599,3.6442,2146
14, 582.9743, 69644.165, 2282.1, 2282,1.9026,2.1363,2282
15, 562.4009, 123936.7676, 4061.16, 4061,2.2632,0.43982,4061
16, 580.4005, 48649.9023, 1594.16, 1594,2.4017,0.87965,1594
17, 586.5554, 40471.8018, 1326.18, 1326,2.7546,6.1575,1326
18, 583.627, 19171.1426, 628.2, 628,3.0485,4.5239,628
19, 582.245, 19324.3408, 633.22, 633,-2.7684,0.50265,633
20, 583.1187, 44746.0938, 1466.24, 1466,-2.1251,3.6442,1466
21, 565.2401, 88905.6396, 2913.26, 2913,-1.2597,1.3823,2913
22, 581.8693, 27992.5537, 917.26, 917,-1.3802,2.8903,917
23, 578.5333, 17128.9062, 561.28, 561,-1.1274,4.8381,561
24, 563.6344, 93271.4844, 3056.32, 3056,0.19927,6.0947,3056
25, 554.3764, 115703.125, 3791.36, 3791,0.99215,5.0894,3791
26, 555.1569, 124370.1172, 4075.36, 4075,1.7833,5.7805,4075
27, 571.8472, 71759.0332, 2351.4, 2351,1.5496,5.0265,2351
28, 563.3774, 80120.8496, 2625.4, 2625,2.4405,3.2044,2625
